# word	zipf
received	5.16
role	5.16
sent	5.16
themselves	5.16
tried	5.16
worked	5.16
worth	5.16
areas	5.15
became	5.15
bill	5.15
books	5.15
cool	5.15
director	5.15
exactly	5.15
giving	5.15
ground	5.15
meeting	5.15
provide	5.15
questions	5.15
relationship	5.15
september	5.15
sound	5.15
source	5.15
usually	5.15
value	5.15
evidence	5.14
follow	5.14
lives	5.14
official	5.14
ok	5.14
production	5.14
rate	5.14
reading	5.14
round	5.14
save	5.14
stand	5.14
stuff	5.14
tax	5.14
whatever	5.14
amount	5.13
blue	5.13
countries	5.13
david	5.13
drive	5.13
eat	5.13
fall	5.13
fast	5.13
federal	5.13
feeling	5.13
felt	5.13
green	5.13
league	5.13
management	5.13
match	5.13
model	5.13
picture	5.13
size	5.13
step	5.13
trust	5.13
central	5.12
changes	5.12
england	5.12
forward	5.12
groups	5.12
hey	5.12
key	5.12
mom	5.12
page	5.12
paid	5.12
range	5.12
review	5.12
science	5.12
trade	5.12
upon	5.12
various	5.12
attention	5.11
brother	5.11
cannot	5.11
character	5.11
chief	5.11
cup	5.11
football	5.11
hate	5.11
james	5.11
led	5.11
looked	5.11
lower	5.11
natural	5.11
october	5.11
property	5.11
quality	5.11
send	5.11
style	5.11
vote	5.11
amazing	5.10
august	5.10
blood	5.10
china	5.10
complete	5.10
dog	5.10
economic	5.10
hell	5.10
involved	5.10
itself	5.10
language	5.10
lord	5.10
november	5.10
oil	5.10
related	5.10
serious	5.10
stage	5.10
terms	5.10
title	5.10
add	5.09
article	5.09
attack	5.09
born	5.09
damn	5.09
decided	5.09
decision	5.09
enjoy	5.09
entire	5.09
french	5.09
january	5.09
kill	5.09
met	5.09
perhaps	5.09
poor	5.09
release	5.09
situation	5.09
technology	5.09
turned	5.09
website	5.09
written	5.09
choice	5.08
code	5.08
considered	5.08
continue	5.08
council	5.08
cover	5.08
currently	5.08
door	5.08
election	5.08
european	5.08
events	5.08
financial	5.08
foreign	5.08
hair	5.08
increase	5.08
legal	5.08
lose	5.08
michael	5.08
pick	5.08
race	5.08
seem	5.08
seven	5.08
sign	5.08
simple	5.08
simply	5.08
staff	5.08
super	5.08
union	5.08
walk	5.08
washington	5.08
bed	5.07
began	5.07
built	5.07
career	5.07
changed	5.07
crazy	5.07
daily	5.07
daughter	5.07
december	5.07
die	5.07
difficult	5.07
figure	5.07
hospital	5.07
knows	5.07
loss	5.07
modern	5.07
ones	5.07
paper	5.07
parts	5.07
popular	5.07
published	5.07
safe	5.07
starting	5.07
systems	5.07
version	5.07
voice	5.07
whose	5.07
writing	5.07
army	5.06
australia	5.06
earth	5.06
forget	5.06
goal	5.06
huge	5.06
internet	5.06
listen	5.06
okay	5.06
practice	5.06
rules	5.06
sea	5.06
sir	5.06
success	5.06
towards	5.06
waiting	5.06
ways	5.06
access	5.05
base	5.05
below	5.05
created	5.05
deep	5.05
followed	5.05
lol	5.05
mark	5.05
missing	5.05
offer	5.05
pass	5.05
professional	5.05
released	5.05
risk	5.05
schools	5.05
sleep	5.05
table	5.05
ten	5.05
truth	5.05
ball	5.04
box	5.04
build	5.04
card	5.04
cases	5.04
dark	5.04
district	5.04
europe	5.04
george	5.04
india	5.04
mine	5.04
minister	5.04
note	5.04
percent	5.04
piece	5.04
products	5.04
recent	5.04
seeing	5.04
straight	5.04
visit	5.04
wall	5.04
wanna	5.04
wrote	5.04
allowed	5.03
boys	5.03
culture	5.03
etc	5.03
fans	5.03
february	5.03
gives	5.03
growth	5.03
included	5.03
married	5.03
officer	5.03
pain	5.03
paul	5.03
places	5.03
respect	5.03
response	5.03
river	5.03
rock	5.03
shall	5.03
speak	5.03
specific	5.03
standard	5.03
tonight	5.03
write	5.03
album	5.02
century	5.02
charge	5.02
cold	5.02
create	5.02
effect	5.02
eight	5.02
except	5.02
eye	5.02
funny	5.02
limited	5.02
moving	5.02
network	5.02
peace	5.02
provided	5.02
recently	5.02
required	5.02
sales	5.02
spent	5.02
store	5.02
student	5.02
tomorrow	5.02
track	5.02
via	5.02
watching	5.02
weight	5.02
addition	5.01
ahead	5.01
allow	5.01
anti	5.01
association	5.01
beat	5.01
brown	5.01
capital	5.01
chinese	5.01
committee	5.01
conference	5.01
difference	5.01
double	5.01
expect	5.01
gas	5.01
island	5.01
moved	5.01
normal	5.01
plans	5.01
population	5.01
potential	5.01
pressure	5.01
radio	5.01
russian	5.01
station	5.01
text	5.01
treatment	5.01
western	5.01
ass	5.00
beginning	5.00
california	5.00
campaign	5.00
certainly	5.00
completely	5.00
content	5.00
credit	5.00
cross	5.00
described	5.00
despite	5.00
female	5.00
focus	5.00
hi	5.00
husband	5.00
ice	5.00
individual	5.00
interesting	5.00
join	5.00
kept	5.00
leading	5.00
loved	5.00
message	5.00
miles	5.00
nearly	5.00
particular	5.00
previous	5.00
quickly	5.00
region	5.00
reported	5.00
section	5.00
sort	5.00
speed	5.00
travel	5.00
consider	4.99
contact	4.99
drop	4.99
fair	4.99
feet	4.99
jesus	4.99
kid	4.99
link	4.99
positive	4.99
sale	4.99
throughout	4.99
tour	4.99
welcome	4.99
absolutely	4.98
additional	4.98
beyond	4.98
conditions	4.98
earlier	4.98
extra	4.98
forces	4.98
immediately	4.98
jobs	4.98
leaving	4.98
minute	4.98
nature	4.98
numbers	4.98
quick	4.98
sell	4.98
significant	4.98
studies	4.98
unless	4.98
winning	4.98
agree	4.97
canada	4.97
clean	4.97
computer	4.97
construction	4.97
episode	4.97
favorite	4.97
income	4.97
justice	4.97
levels	4.97
manager	4.97
movement	4.97
photo	4.97
posted	4.97
safety	4.97
san	4.97
scene	4.97
sold	4.97
sounds	4.97
spend	4.97
statement	4.97
sun	4.97
teams	4.97
ability	4.96
announced	4.96
asking	4.96
calling	4.96
coach	4.96
collection	4.96
continued	4.96
costs	4.96
definitely	4.96
designed	4.96
expected	4.96
friday	4.96
gun	4.96
happens	4.96
heavy	4.96
includes	4.96
knowledge	4.96
particularly	4.96
search	4.96
subject	4.96
train	4.96
wide	4.96
wow	4.96
author	4.95
centre	4.95
claim	4.95
dad	4.95
developed	4.95
fear	4.95
fit	4.95
generally	4.95
german	4.95
global	4.95
goals	4.95
gotta	4.95
hotel	4.95
interested	4.95
judge	4.95
lady	4.95
leader	4.95
letter	4.95
lines	4.95
material	4.95
named	4.95
nobody	4.95
opportunity	4.95
plus	4.95
pre	4.95
product	4.95
regular	4.95
secretary	4.95
sister	4.95
stories	4.95
unit	4.95
workers	4.95
annual	4.94
anymore	4.94
bar	4.94
battle	4.94
brain	4.94
contract	4.94
degree	4.94
families	4.94
features	4.94
finished	4.94
floor	4.94
france	4.94
growing	4.94
hurt	4.94
image	4.94
insurance	4.94
majority	4.94
meant	4.94
opening	4.94
opinion	4.94
physical	4.94
pro	4.94
reach	4.94
rule	4.94
seriously	4.94
sports	4.94
stupid	4.94
successful	4.94
active	4.93
administration	4.93
approach	4.93
australian	4.93
biggest	4.93
cancer	4.93
civil	4.93
dance	4.93
defense	4.93
direction	4.93
independent	4.93
master	4.93
none	4.93
reasons	4.93
russia	4.93
ship	4.93
stock	4.93
trump	4.93
weekend	4.93
wonder	4.93
worst	4.93
africa	4.92
awesome	4.92
band	4.92
beach	4.92
cash	4.92
clearly	4.92
commercial	4.92
compared	4.92
effort	4.92
ended	4.92
fan	4.92
fighting	4.92
imagine	4.92
impact	4.92
lack	4.92
latest	4.92
learning	4.92
multiple	4.92
older	4.92
operation	4.92
organization	4.92
passed	4.92
pictures	4.92
protect	4.92
secret	4.92
senior	4.92
spring	4.92
sunday	4.92
telling	4.92
wear	4.92
activities	4.91
address	4.91
analysis	4.91
anyway	4.91
bought	4.91
calls	4.91
choose	4.91
christmas	4.91
color	4.91
commission	4.91
competition	4.91
details	4.91
direct	4.91
dream	4.91
easily	4.91
finish	4.91
grand	4.91
increased	4.91
indian	4.91
literally	4.91
luck	4.91
marriage	4.91
names	4.91
necessary	4.91
patients	4.91
resources	4.91
rich	4.91
skin	4.91
speaking	4.91
supposed	4.91
sweet	4.91
thus	4.91
touch	4.91
yesterday	4.91
caught	4.90
closed	4.90
congress	4.90
damage	4.90
directly	4.90
disease	4.90
doctor	4.90
doubt	4.90
drink	4.90
driving	4.90
established	4.90
feels	4.90
fish	4.90
gay	4.90
germany	4.90
glad	4.90
greater	4.90
grow	4.90
largest	4.90
machine	4.90
notice	4.90
overall	4.90
planning	4.90
professor	4.90
programs	4.90
records	4.90
reports	4.90
shown	4.90
sit	4.90
trip	4.90
associated	4.89
basic	4.89
captain	4.89
carry	4.89
cars	4.89
crime	4.89
effective	4.89
effects	4.89
explain	4.89
fully	4.89
highly	4.89
holding	4.89
japan	4.89
laws	4.89
male	4.89
mrs	4.89
parties	4.89
plant	4.89
reality	4.89
smith	4.89
spot	4.89
texas	4.89
winter	4.89
worse	4.89
advice	4.88
agreement	4.88
award	4.88
block	4.88
broken	4.88
caused	4.88
challenge	4.88
characters	4.88
christian	4.88
comment	4.88
equipment	4.88
eventually	4.88
helped	4.88
holy	4.88
killing	4.88
lived	4.88
lots	4.88
nation	4.88
otherwise	4.88
peter	4.88
prices	4.88
primary	4.88
purpose	4.88
rates	4.88
responsible	4.88
shop	4.88
showing	4.88
sick	4.88
teacher	4.88
theory	4.88
uses	4.88
william	4.88
agency	4.87
avoid	4.87
camera	4.87
catch	4.87
cell	4.87
coast	4.87
comments	4.87
drug	4.87
economy	4.87
environment	4.87
executive	4.87
foot	4.87
hall	4.87
mass	4.87
meaning	4.87
mission	4.87
nine	4.87
officers	4.87
operations	4.87
politics	4.87
pop	4.87
produced	4.87
ran	4.87
saturday	4.87
status	4.87
therefore	4.87
trial	4.87
truly	4.87
weather	4.87
activity	4.86
app	4.86
application	4.86
claims	4.86
coffee	4.86
complex	4.86
condition	4.86
division	4.86
evening	4.86
flight	4.86
freedom	4.86
google	4.86
heat	4.86
highest	4.86
interview	4.86
library	4.86
located	4.86
location	4.86
murder	4.86
offered	4.86
putting	4.86
queen	4.86
seconds	4.86
showed	4.86
sitting	4.86
standing	4.86
stars	4.86
walking	4.86
accept	4.85
actual	4.85
appear	4.85
attempt	4.85
broke	4.85
channel	4.85
distance	4.85
eating	4.85
exchange	4.85
fat	4.85
fell	4.85
finding	4.85
glass	4.85
learned	4.85
losing	4.85
mobile	4.85
northern	4.85
opened	4.85
placed	4.85
powerful	4.85
prior	4.85
protection	4.85
reached	4.85
receive	4.85
religious	4.85
ride	4.85
robert	4.85
royal	4.85
screen	4.85
serve	4.85
signed	4.85
slow	4.85
species	4.85
speech	4.85
traffic	4.85
tree	4.85
types	4.85
wearing	4.85
whom	4.85
wonderful	4.85
agreed	4.84
airport	4.84
animals	4.84
appears	4.84
begin	4.84
benefits	4.84
bottom	4.84
cities	4.84
demand	4.84
